id;date;day;lake;group;dN;dC_cor;CN;tot.cells;Eubacteria;Alfaproteobacteria;Betaprteobacteria;Gammaproteobacteria;Deltaproteobacteria;Other;Temperature;NO3;PO4;NH4
1;08.04.2019;98;P1;cyclopoida;;-32,89048015;5,447907026;13670894,70;8721837,00;367587,00;1136178,00;735174,00;2339190,00;370928,70;11,6;12,5761;0,00;0,0292
2;08.04.2019;98;W1;cyclopoida;;-36,9225654;5,133350813;6954077,70;3308283,00;401004,00;1269846,00;267336,00;802008,00;905600,70;10,8;16,1845;0,00;0,0717
3;08.04.2019;98;W1;calanoida;;-38,97355951;4,847443819;6954077,70;3308283,00;401004,00;1269846,00;267336,00;802008,00;905600,70;10,8;16,1845;0,00;0,0717
4;08.04.2019;98;T1;calanoida;;-36,28744281;5,074362577;16073577,00;10025100,00;835425,00;1169595,00;935676,00;2339190,00;768591,00;11,8;4,9051;0,0214;0,1021
5;08.04.2019;98;P2;cyclopoida;;-35,19083044;5,030283994;5547222,00;2940696,00;300753,00;1303263,00;334170,00;367587,00;300753,00;12,2;5,382;0;0,0915
6;08.04.2019;98;T1;cyclopoida;13,8;-34,32341772;4,74;16073577,00;10025100,00;835425,00;1169595,00;935676,00;2339190,00;768591,00;11,8;4,9051;0,0214;0,1021
7;08.04.2019;98;T2;cyclopoida;10,79;-32,15410351;5,41;6068527,20;3341700,00;267336,00;768591,00;835425,00;601506,00;253969,20;12,2;6,17;0,0136;0,2597
8;23.04.2019;113;T2;cyclopoida;12,16;-31,81204633;5,18;21443688,90;9289926,00;568089,00;1203012,00;1647458,10;4347551,70;4387652,10;14,3;3,6913;0,00;0,1132
9;23.04.2019;113;T2;daphnia;11,4358701;-32,30993653;5,43377134;21443688,90;9289926,00;568089,00;1203012,00;1647458,10;4347551,70;4387652,10;14,3;3,6913;0,00;0,1132
10;23.04.2019;113;P1;daphnia;8,781786412;-34,65176088;5,485919256;21112860,60;7919829,00;367587,00;1336680,00;1503765,00;3241449,00;6743550,60;13,7;9,88;0,00;0,0076
11;23.04.2019;113;T2;calanoida;;-32,89737653;5,737206383;21443688,90;9289926,00;568089,00;1203012,00;1647458,10;4347551,70;4387652,10;14,3;3,6913;0,00;0,1132
12;23.04.2019;113;T1;cyclopoida;16,65830829;-35,09510158;5,084861936;26890659,90;12063537,00;1370097,00;1637433,00;2245622,40;5704281,90;3869688,60;13,1;3,4066;0,00;0,0137
13;23.04.2019;113;T1;calanoida;;-35,67851207;5,779130699;26890659,90;12063537,00;1370097,00;1637433,00;2245622,40;5704281,90;3869688,60;13,1;3,4066;0,00;0,0137
14;23.04.2019;113;T1;daphnia;;-33,76579828;6,001489855;26890659,90;12063537,00;1370097,00;1637433,00;2245622,40;5704281,90;3869688,60;13,1;3,4066;0,00;0,0137
15;23.04.2019;113;W1;cyclopoida;;-27,12108934;7,221290661;18162139,50;8060180,40;868842,00;1503765,00;501255,00;634923,00;6593174,10;12,4;12,8292;0,0158;0,0615
16;23.04.2019;113;W1;calanoida;;-35,65968424;5,358710352;18162139,50;8060180,40;868842,00;1503765,00;501255,00;634923,00;6593174,10;12,4;12,8292;0,0158;0,0615
17;06.05.2019;126;W1;daphnia;;-31,84972687;5,809741587;65784706,20;14499636,30;367587,00;1938186,00;233919,00;701757,00;48043620,90;14,1;18,8256;0,0125;0,1544
18;06.05.2019;126;W1;calanoida;14,30526585;-34,30916082;5,115592449;65784706,20;14499636,30;367587,00;1938186,00;233919,00;701757,00;48043620,90;14,1;18,8256;0,0125;0,1544
19;06.05.2019;126;W1;cyclopoida;14,56;-32,80791745;5,33;65784706,20;14499636,30;367587,00;1938186,00;233919,00;701757,00;48043620,90;14,1;18,8256;0,0125;0,1544
20;06.05.2019;126;T1;cyclopoida;15,11;-34,00569832;5,37;22793735,70;8521335,00;902259,00;935676,00;858816,90;3672528,30;7903120,50;16,3;2,7766;0,00;0,1651
21;06.05.2019;126;P1;daphnia;;-30,1746134;6,071047614;37574074,80;13734387,00;434421,00;1370097,00;467838,00;3675870,00;17891461,80;14,8;10,4982;0,00;0,0655
22;06.05.2019;126;T1;daphnia;;-33,517018;6,218324733;22793735,70;8521335,00;902259,00;935676,00;858816,90;3672528,30;7903120,50;16,3;2,7766;0,00;0,1651
23;06.05.2019;126;T1;calanoida;15,22609667;-33,46754331;6,555563057;22793735,70;8521335,00;902259,00;935676,00;858816,90;3672528,30;7903120,50;16,3;2,7766;0,00;0,1651
24;06.05.2019;126;P1;cyclopoida;10,72;-32,13183946;5,98;37574074,80;13734387,00;434421,00;1370097,00;467838,00;3675870,00;17891461,80;14,8;10,4982;0,00;0,0655
25;06.05.2019;126;T2;cyclopoida;9,61;-30,67391304;5,75;21868084,80;10325853,00;334170,00;1236429,00;1035927,00;3107781,00;5827924,80;16,8;3,0517;0;0,8344
26;20.05.2019;140;T1;cyclopoida;14,67964888;-33,28977688;4,97577295;27919903,50;14569812,00;668340,00;1370097,00;2228913,90;5674206,60;3408534,00;19,5;2,2581;0,00;0,0834
28;20.05.2019;140;P1;cyclopoida;10,6463893;-33,19391044;5,317156279;22108687,20;8548068,60;367587,00;1503765,00;267336,00;1537182,00;9884748,60;15,9;10,6478;0,121;0,0265
29;20.05.2019;140;T1;calanoida;16,03962148;-34,97208594;4,824063841;27919903,50;14569812,00;668340,00;1370097,00;2228913,90;5674206,60;3408534,00;19,5;2,2581;0,00;0,0834
31;20.05.2019;140;T2;daphnia;;-27,05190583;6,840318471;35311743,90;13132881,00;434421,00;2172105,00;618214,50;4284059,40;14670063,00;19,2;3,5107;0,00;0,0252
33;20.05.2019;140;T2;cyclopoida;9,68;-29,05743191;5,14;35311743,90;13132881,00;434421,00;2172105,00;618214,50;4284059,40;14670063,00;19,2;3,5107;0,00;0,0252
